Id,Title,Author,Description,Isbn,Udc,BindingType,Language,Genre
8b65ce1b-3781-4db7-a36d-67f9c59f1f24,The Great Gatsby,F. Scott Fitzgerald,"The Great Gatsby is a novel by F. Scott Fitzgerald published in 1925. It is set in the Roaring Twenties and explores themes of wealth, love, and the American Dream.",9780743273565,823|52,Hardcover,English,Scifi
9e53f809-eb2d-4da3-8a6a-5a24c7e07377,To Kill a Mockingbird,Harper Lee,"To Kill a Mockingbird is a novel by Harper Lee. It was published in 1960 and is set in the Deep South of the United States during the Great Depression. The story explores themes of racial injustice and the loss of innocence.",9780061120084,823|91,Paperback,English,Scifi
1c74c4fb-198d-4b9e-bf32-2a9f7a3d11c9,1984,George Orwell,"1984 is a dystopian novel written by George Orwell. It was published in 1949 and is set in a totalitarian society where individualism and independent thinking are suppressed. The book has had a significant impact on popular culture and political discourse.",9780451524935,823|912,Paperback,English,Scifi
4b2a4f7e-8cc0-4e1f-86e6-5a8ddc09c402,Brave New World,Aldous Huxley,"Brave New World is a dystopian novel by Aldous Huxley, published in 1932. It presents a futuristic society where technology and consumerism dominate, and individuality is sacrificed for social stability.",9780060850524,823|912,Paperback,English,Scifi
ff846dcd-6f52-4edf-bf64-6dd7b8d0ae8b,The Catcher in the Rye,J.D. Salinger,"The Catcher in the Rye is a novel by J.D. Salinger. It was published in 1951 and is narrated by a teenager named Holden Caulfield, who explores themes of teenage angst, alienation, and identity.",9780316769488,813|54,Hardcover,English,Scifi
6d7eaf29-d8a2-48a5-9124-c24e01c57b4c,Pride and Prejudice,Jane Austen,"Pride and Prejudice is a novel by Jane Austen. It was first published in 1813 and follows the story of Elizabeth Bennet as she navigates social norms, love, and marriage in 19th-century England. The book is widely regarded as a classic of English literature.",9780141439518,823|7,Hardcover,English,Scifi
ef2bbf72-381b-43db-96e1-8e3a7f572826,The Hobbit,J.R.R. Tolkien,"The Hobbit is a fantasy novel by J.R.R. Tolkien. It was published in 1937 and serves as a prequel to the larger epic, The Lord of the Rings. The story follows Bilbo Baggins on his unexpected journey and introduces the world of Middle-earth.",9780345339683,823|912,Paperback,English,Scifi
b93f6c54-4e76-4ae1-a4da-8b0c5f771c48,To Kill a Mockingbird,Harper Lee,"To Kill a Mockingbird is a novel by Harper Lee. It was published in 1960 and is set in the Deep South of the United States during the Great Depression. The story explores themes of racial injustice and the loss of innocence.",9780061120084,823|91,Paperback,English,Scifi
ad4f4e8a-62ea-4b55-8db3-729445d82953,The Lord of the Rings,J.R.R. Tolkien,"The Lord of the Rings is a trilogy of epic fantasy novels by J.R.R. Tolkien. It was published between 1954 and 1955 and is set in the fictional world of Middle-earth. The story follows a group of characters on their quest to destroy a powerful ring.",9780618640157,823|912,Paperback,English,Scifi
bd813e1c-3b09-4aae-8728-26d31dcd8c64,Harry Potter and the Sorcerer's Stone,J.K. Rowling,"Harry Potter and the Sorcerer's Stone is the first book in the Harry Potter series by J.K. Rowling. It was published in 1997 and introduces the magical world of Hogwarts School of Witchcraft and Wizardry.",9780590353427,823|914,Hardcover,English,Scifi
81c32256-1ed1-4b9c-93db-42c47e69932f,The Chronicles of Narnia,C.S. Lewis,"The Chronicles of Narnia is a series of seven fantasy novels by C.S. Lewis. It takes readers to the magical land of Narnia, where they embark on various adventures filled with mythical creatures and epic battles between good and evil.",9780064471190,823|912,Paperback,English,Scifi
a9a46ef4-7ea4-48d3-9a48-95ae0e75e330,The Alchemist,Paulo Coelho,"The Alchemist is a novel by Paulo Coelho. Originally published in Portuguese in 1988, it follows the journey of a young Andalusian shepherd named Santiago as he seeks his personal legend and discovers the true meaning of life.",9780061122415,869|342,Hardcover,English,Scifi
63021b7a-7ad9-4852-a94c-ecbe72becebe,The Picture of Dorian Gray,Oscar Wilde,"The Picture of Dorian Gray is a novel by Oscar Wilde. It was first published in 1890 and tells the story of a young man named Dorian Gray, who remains eternally young while a portrait of him ages and reflects his sins.",9780141439570,823|8,Paperback,English,Scifi
60a6f474-1465-4f9f-b12a-cb6c4c4c5ec9,The Da Vinci Code,Dan Brown,"The Da Vinci Code is a mystery thriller novel by Dan Brown. Published in 2003, it follows symbologist Robert Langdon as he unravels a complex puzzle and uncovers a secret that could shake the foundations of Christianity.",9780307474278,813|54,Paperback,English,Scifi
e00fb76c-7dd2-4b15-9b33-1e8692ebd54f,The Hunger Games,Suzanne Collins,"The Hunger Games is the first book in a dystopian trilogy by Suzanne Collins. Set in a future society where children are forced to participate in a televised fight to the death, it follows the story of Katniss Everdeen as she challenges the oppressive regime.",9780439023528,813|6,Hardcover,English,Scifi
f53b46c7-7aaf-4d82-860e-699c4ea1c96e,The Kite Runner,Khaled Hosseini,"The Kite Runner is a novel by Khaled Hosseini. Published in 2003, it tells the story of Amir, a young boy from Afghanistan, and his journey of redemption as he confronts his past and seeks forgiveness.",9781594631931,813|6,Paperback,English,Scifi
689b7cc6-0fe9-4b9b-9a48-4ce79c8efde3,The Book Thief,Markus Zusak,"The Book Thief is a historical fiction novel by Markus Zusak. Set in Nazi Germany during World War II, it follows the story of Liesel Meminger, a young girl who steals books and finds solace in words amidst the chaos of war.",9780375831003,833|912,Paperback,English,Scifi
dce4c888-c171-4cdd-8fe6-60d7c7d9ef06,The Girl with the Dragon Tattoo,Stieg Larsson,"The Girl with the Dragon Tattoo is a psychological thriller novel by Stieg Larsson. Originally published in Swedish in 2005, it introduces the complex characters of Mikael Blomkvist and Lisbeth Salander as they investigate a decades-old mystery.",9780307949486,839|737,Paperback,English,Scifi
45d88d06-29e6-46e7-8e87-5e5e3ab6002f,The Fault in Our Stars,John Green,"The Fault in Our Stars is a young adult novel by John Green. Published in 2012, it tells the story of Hazel and Gus, two teenagers with cancer who fall in love and embark on a journey of self-discovery and acceptance.",9780142424179,813|6,Paperback,English,Scifi
2954dd1a-086b-4f5c-9e4b-4dbde3d7b894,The Martian,Andy Weir,"The Martian is a science fiction novel by Andy Weir. Published in 2011, it follows the story of astronaut Mark Watney, who is stranded alone on Mars and must use his ingenuity to survive until rescue becomes possible.",9780553418026,813|6,Paperback,English,Scifi
2a018524-9341-423e-91e2-64a7cccd8652,Crime and Punishment,Fyodor Dostoevsky,"Crime and Punishment is a Russian novel by Fyodor Dostoevsky. Published in 1866, it delves into the psyche of the protagonist, Raskolnikov, as he grapples with guilt and the consequences of his actions.",9780486415871,891|73,Paperback,Russian,Scifi
3b783b7b-8ee2-4d26-af56-3e0b9e8adfd2,The Divine Comedy,Dante Alighieri,"The Divine Comedy is an Italian epic poem by Dante Alighieri. Written in the early 14th century, it takes readers on a journey through Hell, Purgatory, and Paradise, exploring themes of sin, redemption, and the afterlife.",9780142437223,851|1,Paperback,Italian,Scifi
4b6b2a07-f9a0-47d9-8ce5-64e6fc47ae57,War and Peace,Leo Tolstoy,"War and Peace is a Russian novel by Leo Tolstoy. Published between 1865 and 1869, it depicts the impact of the Napoleonic era on Russian society through the intertwined lives of multiple characters.",9781400079988,891|73,Paperback,Russian,Scifi
5e008759-7f23-4f78-aa0b-c0f935d0bb82,Journey to the Center of the Earth,Jules Verne,"Journey to the Center of the Earth is a French adventure novel by Jules Verne. Published in 1864, it follows the story of Professor Otto Lidenbrock and his nephew Axel as they explore a subterranean world beneath Iceland.",9780812505033,843|8,Paperback,French,Scifi
68ac34a2-5725-4d79-9a5c-2111fc4cbb78,A Hundred Years of Solitude,Gabriel García Márquez,"A Hundred Years of Solitude is a novel by Gabriel García Márquez. Originally published in Spanish in 1967, it blends magical realism with the story of the Buendía family across several generations in the fictional town of Macondo.",9780060883287,863|64,Hardcover,Spanish,Scifi
71082759-717e-4b52-88b9-8ae8f48af9b1,Memoirs of a Geisha,Arthur Golden,"Memoirs of a Geisha is a historical novel by Arthur Golden. Published in 1997, it tells the story of Sayuri, a young girl who becomes a geisha in pre-World War II Japan and navigates the intricacies of the geisha society.",9780679781585,813|54,Hardcover,English,Scifi
86f0f90b-7d10-4c69-80ed-5d5e51c631c0,The Metamorphosis,Franz Kafka,"The Metamorphosis is a novella by Franz Kafka. Published in 1915, it tells the story of Gregor Samsa, who wakes up one morning to find himself transformed into a giant insect, and explores themes of alienation and identity.",9780141183128,833|912,Paperback,German,Scifi
94a5e30d-2734-4b4b-a3da-4f4be0fd6bc3,The Trial,Franz Kafka,"The Trial is a novel by Franz Kafka. Published posthumously in 1925, it follows the story of Josef K., who is arrested and put on trial but struggles to understand the charges against him in a surreal and absurd legal system.",9780805210408,833|912,Paperback,German,Scifi
